COUNTRY;COUNTRY CODE;STATE;STATE CODE;COUNTY;COUNTY CODE;LOCALITY ID;LOCALITY TYPE;LATITUDE;LONGITUDE
Morocco;MA;Marrakech-Tensift-Al Hao;MA-11;;;L7207288 ;P;31.6;-8
Morocco;MA;Grand Casablanca        ;MA-08;;;L7221053 ;P;33.6;-7.6
Morocco;MA;Meknès-Tafilalet       ;MA-06;;;L7221084 ;P;34.1;-5.5
Morocco;MA;Tanger-Tétouan         ;MA-01;;;L7225385 ;P;35.8;-5.8
Morocco;MA;Marrakech-Tensift-Al Hao;MA-11;;;L7225448 ;P;31.5;-7.4
Morocco;MA;Marrakech-Tensift-Al Hao;MA-11;;;L7225473 ;P;31.6;-8
Morocco;MA;Meknès-Tafilalet       ;MA-06;;;L7225610 ;P;31.1;-4
Morocco;MA;Tanger-Tétouan         ;MA-01;;;L7227071 ;P;35.9;-5.5
Morocco;MA;Tanger-Tétouan         ;MA-01;;;L7227131 ;P;35.6;-5.3
Morocco;MA;Tadla-Azilal            ;MA-12;;;L7227617 ;P;31.7;-7
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L7230772 ;H;31.1;-6.3
Morocco;MA;Rabat-Salé-Zemmour-Zaer;MA-07;;;L7231297 ;P;34;-6.6
Morocco;MA;Rabat-Salé-Zemmour-Zaer;MA-07;;;L7231304 ;P;33.9;-6.6
Morocco;MA;Marrakech-Tensift-Al Hao;MA-11;;;L7231842 ;P;31.2;-7.9
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L7231867 ;P;31;-7.2
Morocco;MA;Rabat-Salé-Zemmour-Zaer;MA-07;;;L7233671 ;P;33.9;-6.8
