COUNTRY;COUNTRY CODE;STATE;STATE CODE;COUNTY;COUNTY CODE;LOCALITY ID;LOCALITY TYPE;LATITUDE;LONGITUDE
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L7109536 ;P;31.3;-5.9
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L7110631 ;P;31.4;-5.3
Morocco;MA;Meknès-Tafilalet       ;MA-06;;;L7110709 ;P;31.8;-4.6
Morocco;MA;Meknès-Tafilalet       ;MA-06;;;L7110752 ;P;31.9;-4.4
Morocco;MA;Meknès-Tafilalet       ;MA-06;;;L7110830 ;P;31.3;-4.1
Morocco;MA;Meknès-Tafilalet       ;MA-06;;;L7113164 ;P;31.3;-4
Morocco;MA;Meknès-Tafilalet       ;MA-06;;;L7115556 ;P;31.4;-4.2
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L7118353 ;P;31.5;-5.5
Morocco;MA;Marrakech-Tensift-Al Hao;MA-11;;;L7118802 ;P;31.7;-8
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L7119974 ;P;31.2;-6.2
Morocco;MA;Meknès-Tafilalet       ;MA-06;;;L7121554 ;P;31.3;-4
Morocco;MA;Meknès-Tafilalet       ;MA-06;;;L7121557 ;P;31.3;-4
Morocco;MA;Meknès-Tafilalet       ;MA-06;;;L7121574 ;P;31.2;-3.9
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L7121605 ;P;30.6;-5.5
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L7121607 ;P;30.6;-5.3
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L7121617 ;P;30.3;-5.8
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L7121623 ;P;30.7;-6.4
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L7121624 ;P;30.7;-6.4
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L7121627 ;P;30.7;-6.7
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L7121631 ;P;30.9;-6.8
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L7121634 ;P;30.9;-6.8
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L7126829 ;P;31.4;-6
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L7126883 ;P;31.3;-5.8
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L7126910 ;P;31.5;-5.5
Morocco;MA;Meknès-Tafilalet       ;MA-06;;;L7127011 ;P;31.3;-4.5
Morocco;MA;Meknès-Tafilalet       ;MA-06;;;L7127036 ;P;31.4;-4.2
Morocco;MA;Marrakech-Tensift-Al Hao;MA-11;;;L7127456 ;P;31.5;-7.7
Morocco;MA;Marrakech-Tensift-Al Hao;MA-11;;;L7127610 ;P;31.3;-7.8
Morocco;MA;Marrakech-Tensift-Al Hao;MA-11;;;L7127655 ;P;31.3;-7.8
Morocco;MA;Meknès-Tafilalet       ;MA-06;;;L7127758 ;P;31.4;-4.2
Morocco;MA;Marrakech-Tensift-Al Hao;MA-11;;;L7127759 ;P;31.6;-8
Morocco;MA;Meknès-Tafilalet       ;MA-06;;;L7127761 ;P;31.3;-4.3
Morocco;MA;Meknès-Tafilalet       ;MA-06;;;L7127763 ;P;31.2;-4.3
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L7128021 ;P;31.4;-6
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L7128023 ;P;31.4;-6
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L7129569 ;P;31.4;-6
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L7129578 ;P;31.3;-5.9
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L7129752 ;P;31.4;-6
Morocco;MA;Marrakech-Tensift-Al Hao;MA-11;;;L7130451 ;P;31.5;-7.4
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L7130616 ;P;31;-7.2
Morocco;MA;Marrakech-Tensift-Al Hao;MA-11;;;L7130845 ;P;31.3;-7.4
Morocco;MA;Meknès-Tafilalet       ;MA-06;;;L7131127 ;P;31.2;-4
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L7132010 ;P;31.3;-6
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L7132388 ;P;31;-6.8
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L7132492 ;P;31;-6.8
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L7132495 ;P;31;-6.7
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L7132498 ;P;31.1;-6.4
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L7132503 ;P;31.2;-6.2
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L7133110 ;P;30.9;-6.9
Morocco;MA;Sous-Massa-Draa         ;MA-13;;;L7133794 ;P;30.9;-6.8
