TAXONOMIC ORDER;CATEGORY;TAXON CONCEPT ID;COMMON NAME;SCIENTIFIC NAME;SUBSPECIES COMMON NAME;SUBSPECIES SCIENTIFIC NAME
24805;species;avibase-B13D68B1;Eastern Subalpine Warbler ;Curruca cantillans         ;                                ;                                  
28197;issf;avibase-B142856F;Spotted Flycatcher        ;Muscicapa striata          ;Spotted Flycatcher (Spotted)    ;Muscicapa striata [striata Group] 
31994;spuh;avibase-B20C6C46;finch sp.                 ;Fringillidae sp.           ;                                ;                                  
7515;species;avibase-B20FECE2;Northern Bald Ibis        ;Geronticus eremita         ;                                ;                                  
23183;species;avibase-B283E332;Great Reed Warbler        ;Acrocephalus arundinaceus  ;                                ;                                  
21815;issf;avibase-B2A324BF;Greater Hoopoe-Lark       ;Alaemon alaudipes          ;Greater Hoopoe-Lark (Mainland)  ;Alaemon alaudipes [alaudipes Group
2070;species;avibase-B2D6AB06;Laughing Dove             ;Spilopelia senegalensis    ;                                ;                                  
10696;species;avibase-B2E6AB9F;Eurasian Wryneck          ;Jynx torquilla             ;                                ;                                  
31603;species;avibase-B345F82B;Crimson-winged Finch      ;Rhodopechys sanguineus     ;                                ;                                  
7167;issf;avibase-B38FDD3E;Great Cormorant           ;Phalacrocorax carbo        ;Great Cormorant (White-breasted);Phalacrocorax carbo lucidus       
3396;species;avibase-B3D2C3C5;Common Cuckoo             ;Cuculus canorus            ;                                ;                                  
30950;species;avibase-B4037E8F;Desert Sparrow            ;Passer simplex             ;                                ;                                  
7160;form;avibase-B57FBCFE;Great Cormorant           ;Phalacrocorax carbo        ;Great Cormorant (Dark-breasted) ;Phalacrocorax carbo carbo/sinensis
5985;species;avibase-B5CE8FAD;Red Knot                  ;Calidris canutus           ;                                ;                                  
5405;species;avibase-B682B2A9;Eurasian Coot             ;Fulica atra                ;                                ;                                  
5438;species;avibase-B6838E0C;Western Swamphen          ;Porphyrio porphyrio        ;                                ;                                  
23576;spuh;avibase-B687ACB6;Riparia sp.               ;Riparia sp.                ;                                ;                                  
28337;species;avibase-B68BD0D2;Rufous-tailed Scrub-Robin ;Cercotrichas galactotes    ;                                ;                                  
8286;issf;avibase-B725BDE4;Long-legged Buzzard       ;Buteo rufinus              ;Long-legged Buzzard (Atlas)     ;Buteo rufinus cirtensis           
